Sentiment in Forums,Risk Level Prediction,Word Count,processed_IOCs (Indicators of Compromise),processed_Threat Actor,processed_Attack Vector,processed_Geographical Location,processed_Cleaned Threat Description,processed_Keyword Extraction,processed_Named Entities (NER),processed_Topic Modeling Labels,Threat Category,Severity Score,Suggested Defense Mechanism
0.67,5,30,,lazarus group,email,global,distributed denial service attack public website,,,malware,Phishing,3,Patch Vulnerability
0.93,2,20,,anonymous,network,north korea,ransomware attack network vulnerability,,,phishing,Phishing,5,Patch Vulnerability
0.62,2,46,,anonymous,web,usa,ransomware attack network vulnerability,,,phishing,Malware,4,Patch Vulnerability
0.85,4,27,,unknown,network,global,ransomware attack network vulnerability,,,phishing,Ransomware,2,Monitor for Phishing
0.81,2,36,,,email,russia,distributed denial service attack public website,,group device,ransomware,Phishing,5,Increase Web Security
0.93,4,46,,lazarus group,network,north korea,distributed denial service attack public website,,,phishing,Phishing,2,Monitor for Phishing
0.57,1,21,,unknown,web,global,distributed denial service attack public website,,group device,phishing,Malware,3,Patch Vulnerability
0.99,2,32,,unknown,web,usa,distributed denial service attack public website,,,phishing,Malware,1,Quarantine
0.79,1,43,,lazarus group,network,germany,ransomware attack network vulnerability,,,phishing,Ransomware,5,Monitor for Phishing
1.0,3,47,,unknown,email,germany,phishing scam targeting corporate account,,,ransomware,Malware,5,Increase Web Security
0.96,4,32,,,network,usa,phishing scam targeting corporate account,,service,ransomware,DDoS,2,Patch Vulnerability
0.61,3,34,,,email,usa,distributed denial service attack public website,,,ransomware,Malware,3,Monitor for Phishing
0.53,2,13,,anonymous,network,germany,malware detected email attachment,,service,malware,DDoS,4,Quarantine
0.63,1,39,,unknown,web,global,phishing email malicious link,,group device,phishing,Ransomware,3,Monitor for Phishing
0.76,2,39,,anonymous,email,germany,malware detected email attachment,,group device,phishing,Ransomware,5,Increase Web Security
0.59,3,22,,unknown,email,usa,malware detected email attachment,,,ransomware,Ransomware,4,Monitor for Phishing
0.58,2,23,,,email,north korea,malware detected email attachment,,group device,phishing,Ransomware,3,Quarantine
0.73,5,17,,,web,russia,phishing scam targeting corporate account,,,phishing,Ransomware,1,Quarantine
0.52,3,33,,,network,north korea,phishing email malicious link,,group device,malware,DDoS,2,Increase Web Security
